figure,source_page,left,top,right,bottom,width,height
fig_2-1,071,359,309,2110,753,2098,1070
fig_2-2,072,277,501,2083,933,1446,445
fig_2-3,073,301,308,2112,798,1805,754
fig_2-4,074,0,1805,2399,2832,2399,1027
fig_2-5,074,278,1077,2085,1679,1807,602
fig_2-6,075,302,464,1712,1316,1410,852
fig_2-7,075,301,1412,2111,1829,1203,592
fig_2-8,077,0,417,2399,1210,2399,793
fig_2-9,077,308,1493,1619,1859,1311,366
fig_2-10,077,307,2059,2115,2316,1808,257
fig_2-11,078,0,1710,2399,2629,2399,919
fig_2-12,078,278,609,489,1078,211,469
fig_2-13,078,879,609,1476,1078,597,469
fig_2-14,080,0,2168,2399,3248,2399,1080
fig_2-15,080,275,308,2077,1669,1802,1361
fig_2-16,081,301,304,2111,671,1685,510
fig_2-17,082,275,429,2132,1215,1857,786
fig_2-18,084,293,303,2085,699,1790,381
fig_2-19,086,0,2988,2399,3276,2399,288
fig_2-20,086,447,314,1904,1372,1457,1058
fig_2-21,087,0,412,2399,1165,2399,753
fig_2-22,087,422,1286,2115,1644,1815,510
fig_2-23,087,296,1665,2111,2175,1747,557
fig_2-24,089,383,314,2032,1760,1649,1446
fig_2-25,090,278,293,1944,674,1666,381
fig_2-26,091,0,1294,2399,1960,2399,666
fig_2-27,092,0,293,2399,1543,2399,1250
fig_2-28,094,547,298,1809,1394,1262,1096
fig_2-29,095,0,2671,2399,3249,2399,578
fig_2-30,095,302,314,2073,1110,1771,796
fig_2-31,096,276,309,2082,778,1806,469
fig_2-32,097,308,303,2112,650,826,1406
fig_2-33,099,336,308,2114,1085,1302,984
fig_2-34,100,0,311,2399,960,2399,649
fig_2-35,100,308,1103,2088,1743,1256,846
fig_2-36,102,0,1135,2399,2273,2399,1138
fig_2-37,103,0,1571,2399,2313,2399,742
fig_2-38,105,302,308,2111,998,1300,823
fig_2-39,108,279,641,1481,1105,1202,464
fig_2-40,111,302,308,2110,753,1676,468
fig_2-41,112,276,309,2084,1001,1236,881
fig_2-42,113,301,378,1846,1282,1545,904
fig_2-43,114,277,623,2094,1025,1808,458
fig_2-44,115,302,308,2110,730,1362,657
fig_2-45,116,0,1143,2399,1483,2399,340
fig_2-46,117,0,1540,2399,2313,2399,773
fig_2-47,117,0,2398,2399,3259,2399,861
fig_2-48,122,0,297,2399,1338,2399,1041
fig_2-49,124,0,2492,2399,3265,2399,773
fig_2-50,125,301,308,2110,1162,856,498
fig_2-51,125,301,1182,2114,1406,1288,386
fig_2-52,125,775,1423,1631,1921,550,247
fig_2-53,125,302,1940,2111,2298,120,291
fig_2-54,125,301,2315,1589,2701,577,291
fig_2-55,126,276,804,2083,1217,1806,288
fig_2-56,128,277,308,2087,1174,1592,454
fig_2-57,129,305,308,2114,798,1804,576
fig_2-58,133,0,303,2399,1093,2399,790
fig_2-59,134,0,1634,2399,2515,2399,881
fig_2-60,135,302,309,2108,596,1806,287
fig_2-61,135,301,627,662,974,361,347
fig_2-62,135,829,627,1587,974,758,347
fig_2-63,137,0,2514,2399,3259,1648,1212
fig_2-64,138,0,1566,2399,2836,2399,1270
fig_2-65,141,0,774,2399,1549,2399,775
fig_2-66,141,302,309,2111,720,1809,443
fig_2-67,145,0,842,2399,1930,2399,1088
fig_2-68,146,525,418,1839,1202,1314,784
fig_2-69,148,0,2393,2399,3259,2399,866
fig_2-70,150,0,936,2399,1856,2399,920
